		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Aranyvessző	Forsythia x intermedia	magányos	tojásdad	fűrészes	nyeles		sárga		sima	barna		Aranyfának is nevezik, mert virágzáskor úgy ellepik a sárga virágok a hajtásokat, hogy ki sem látszanak. Általában aranyesőnek szokták hívni, pedig nem ugyanaz a két faj: az aranyeső, a Laburnum anagyroides, a pillangósvirágúak közé tartozik, lecsüngő fürt virágzata a lombfakadás után nyílik, alacsony termetű fa. Az aranyvessző, a Forsythia még lomfakadás előtt virágzik, és bár sűrű fürtnek tűnik, virágai mégis egyesével nyílnak. Viszont mindkét faj mérgező! Az aranyvessző 3-5 méter magas cserje, vékony vesszői elhajlóak. A fiatal vesszők kérge majdnem sárga vagy zöldes, enyhén szemölcsös. Tojásdad vagy széles lándzsa alakú levelei fűrészes szélűek, átellenes állásúak. A sárga, négy tagú, tölcsérszerű virágok áprilisban nyílnak tömegesen. Termése tok. A forsythia jellegzetes, gyakran ültetett díszcserjénk											
Aszúszegfű	Petrorhagia prolifera	magányos	szálas	ép	ülő	5 tagú	lila	hengeres				Napsütötte réteken, sziklagyepeken találkozhatunk a szegfűfélék eme képviselőjével. A család tagjainak jellegzetes morfológiai vonása a keresztben átellenes, többnyire keskeny, szálas levél. Körülbelül 15-30 cm magasra nő meg. Felálló szára egyenes, hengeres, merev-így alkalmazkodva a csapadékszegény, meleg élőhelyekhez. Levelei keskeny-szálasak, keresztben átellenes állásúak, szárra lefutók. A levelek kapcsolódásánál  a szár csomószerűen megvastagodott.  Állcsészelevelei sárgásbarnák, hártyásak, ebből lógnak ki az apró, pár mm-es virágok. A szirmok halvány rózsaszínűek. Termése tok, amely sok apró, fekete magot rejt. Nyár végén virágzik, száraz, meleg, sekély termőrétegű élőhelyeken.											
Atlasz cédrus	Cedrus atlantica	toboz	tűlevél	ép	ülő		barna		pikkelyes	szürkésbarna	toboz	Természetes előfordulási helye Algéria és Marokkó. Magyarországon nem alkot egybefüggő állományokat, elsősorban parkok, kertek, arborétumok díszfája. Eredeti élőhelyén közép- és magashegységek hűvösebb lejtőin fordul elő. Magyarországon természetben nem nagyon találkozhatunk vele, inkább parkokban látható. Törzse egyenes, kérge szürkésbarna, pikkelyesen repedezett, érdes. Ágai szétterülnek, főleg idős korban már lapított a korona. Tűi örökzöldek, nem hullanak le, hamvas szürkés-kék színűek, csoportosan állnak, akár a vörösfenyőé. Toboza tömzsi, hordó alakú, kinyílva lapos, olyan mint egy virágzó rózsa. Két év alatt fejlődnek ki. Faipari alapanyagként nem terjedt el, inkább esztétikai szerepe van.											
Avarvirág	Goodyera repens	füzér	tojásdad	ép	tőálló	kosbor	fehér	hengeres				Mészkerülő fenyvesek ritka, apró teremtű kosborféléje. Magyarországon a Vendvidéken, az Őrségben és a Hetés határvidékén találkozhatunk vele. Szára a földön kúszva elágazik, telepet alkotva. Mindössze 10- 25 cm-re nő meg, így nem könnyű észrevenni az árnyas erdőtalajon. Szára finoman mirigyszőrös, alul kopasz. Levelei tőállóak, tojásdadok, ép szélűek, hegyes csúcsúak, sötétzöldek, fényesek. Színükön jellegzetes hálózatos (kígyóbőrszerű) minta látható. Csak a következő év tavaszán pusztulnak el. Virágai 5-15 tagú fürtben állnak (aprók, mindössze 4-5 mm méretűek), fehérek, vagy sárgásfehérek. Nem alkotnak tökéletes spirált, mint a füzértekercs. A szárhoz hasonlóan pelyhesek. A mézajak rövid, ép, töve kiöblösödő. Termése hatrekeszű tok, amely rengeteg apró, lisztfinomságú magot rejt. Július-augusztusban nyílik.											
Ágas békabuzogány	Sparganium erectum	fejecske	kard	ép	tőálló	egyedi*	fehér	hengeres				Hazánkban három békabuzogány faj él. Nevüket jellegzetes alakú terméscsoportjukról kapták, a béka előtag pedig minden bizonnyal élőhelyükre (lassú folyású patakok, tópartok) utal. Nagy termetű növény, akár másfél méteres magasságot is elérhet. Kúszó gyöktörzse van. Fényes sötétzöld levelei kard alakúak, hajlékonyak, ép szélűek. Vaskos szára hengeres. Kicsi virágai tömött fejecskében nyílnak, fehér színűek. Több fejecske alkotja a füzér virágzatot. Jellegzetes alakja miatt már ekkor feltűnő jelenség. Termései zöld színűek, tömött fejecskébe rendeződnek, egyenként hegyes csúcsúak, emiatt lesz a terméscsoport érdes, felületű, mint a buzogány feje. Magyarországon viszonylag gyakori.											
Ágas homokliliom	Anthericum ramosum	buga	szálas	ép	tőálló	6 tagú	fehér	hengeres				Karcsú szárával, apró fehér virágával néha szinte észrevehetetlen. A törékenynek tűnő növény igen mostoha körülményeket is elvisel, találkozhatunk vele sziklagyepeken, kőomlások sziklái között is. Nagyon vékony, elágazó szára 30-60 cm-es magasságot ér el. Száránál rövidebb, szálas keskeny levelei tőállóak. Néha a száraz fűben meg sem lehet különböztetni őket környezetüktől. A fehér, hat tagú virágok laza bugában nyílnak. A sárga színű bibe egyenes, és hosszabb a lepleknél. Termése gömbölyded, rekeszes tok, de gyökerével is terjed. Száraz gyepek, rétek, hegyi kaszálok, kőomlások, nyíltabb erdők virágai, mely június-augusztusban nyílik.	Fürtös homokililiom										
Árlevelű len	Linum tenuifolium	sátorozó	szálas	ép	ülő	5 tagú	fehér	hengeres				A termesztett lenfajok 80-120 cm magasra nőnek meg. A vadon élő fajok alacsonyabbak,az árlevelű len 30-50 cm-re nő meg. Az egész növény kopasz, szára vékony elágazó. Levelei aprók, szálasak, ép szélűek, a száron szórtan állnak. Virágai fehérek vagy halványlila árnyalatúak, a szirmok erezete egy kicsit erősebb, mint az alapszín. Termése gömbölyű tok.  A lenféléket nem érdemes csokorba szedni, egyrészt mert védett fajok is vannak köztük (mint az árlevelű is, eszmei értéke 5000 forint), másrészt igen hamar lehullanak a törékeny szirmok. Május-június hónapokban virágzik, nyílt réteken, parlagon maradt földeken, szántókon találkozhatunk vele.											
Árnika	Arnica montana	magányos	elliptikus	ép	tőálló	fészek	sárga	hengeres				Régóta használt gyógynövény az árnika, melyet külsőleg sebek gyógyítására, gyulladások csökkentésére használnak, a körömvirághoz hasonlóan. Jellegzetes faj, és bár a fészkesek családjában gyakori a sárga szín, mégis könnyű felismerni. Fél méteresre is megnőhet. Tőlevelei rozettát alkotnak, szárlevelei keresztben átellenesek. A levelek lándzsásak vagy elliptikusak, kicsit pozsgás tapintásúak. Virágai egyesével (esetleg másodmagukkal) nyílnak a tőkocsány csúcsán. Csöves virágai sárgák, a nyelves virágok barnásak, hosszúak, keskenyek, a virág átmérője 4-6 cm. Termése kaszat. Magyarországról eredeti élőhelyeiről (hegyi rétek, gyepek) kihalt, az Őrségben él telepített állománya. Eszmei értéke 10 000 forint. Az árnika gyógynövény, Hazánkból kihalt											
Árpa	Hordeum vulgare	füzér	szálas	ép	ülő	redukált		szalmaszár				A hidegebb éghajlatú országok máig legfontosabb és egyben a legkorábbról ismert gabonanövénye. Nemzetségének 30 képviselője van. Karrierjét a gazdálkodással még éppen csak próbálkozó emberrel kezdte, és meg is maradt, a civilizáció egyik legfontosabb gabonanövényének. Mivel a sörfőzés egyik legfontosabb alapanyaga is egyben, így minden valószínűség szerint ezt a növényt egy jó darabig nem fogja fenyegetni a kihalás veszélye. Mint már említettem, nemzetségének 30 képviselője van, így természetesen akad köztük egyszerű gyom, illetve gazdasági haszonnövény is. Jelen faj alatt a gazdaságilag jelentős egyedeket tárgyaljuk. Mint minden ilyen növényt, ezt is többféle módszer szerint nemesítették, így egy formagazdag, változatos csoportot hoztak létre, melyek egyedeit általában a .convar -szóval jelölnek. Ezek lehetnek 2-soros (ebből készül a whisky illetve a sör), 4-soros (jellegzetessége, hogy nagyon korán betakarítható, és elég gyatra talajokon is termőképes) valamint a 6-soros, amely abban különbözik a többitől, hogy a kalászorsó padkáin 3-masával ülnek a magvak. A magvakat sokféle-képpen hasznosítják, a pörkölt árpából készíthetünk pl. koffeinmentes kávét :)											
Bablevelű varjúháj	Sedum maximum	bog	tojásdad	fűrészes	ülő	5 tagú	sárga	hengeres				A család tagja remekül alkalmazkodtak mostoha élőhelyeik körülményeihez. Húsos leveleikben nedvességet raktároznak, a sziklarepedésekben összegyűlt kevéske földben is képesek megkapaszkodni. A bablevelű varjúháj levele eltér a többi fajétól: nem apró, hengeres, hanem lapos,fordított tojásdad, 1-3 cm hosszú és 1-1,5 cm széles. Szélük fűrészes, a száron párosával helyezkednek el. Bár alakja eltérő, abban hasonlít rokonaihoz, hogy vastag, húsos. Szára felálló, vörössel futtatott. Virágai kicsik, sárgás fehérek, a szár végén bogernyőt alkotnak. A virágocskák öttagúak, a hegyes végű szirmok miatt csillag formára hasonlítanak. Termése tüszőcsokor. Sziklaomlásokon, sziklafalakon, sziklás bokorerdőkben virágzik június és szeptember között.											
Bajuszos hagyma	Allium vineale	ernyő	szálas	ép	tőálló	6 tagú	bíbor	hengeres			tok	Különös megjelenésű faj, gömb alakú virágzatát apró virágain kívül rengeteg apró sarjhagyma alkotja. A sarjak közül kilógnak a porzószálak karakteresek. Szára vékony, hengeres. Kékeszöld levelei vékonyak, szálasak, kopaszak, félkör keresztmetszetűek, tőállóak a virágzás idejére elszáradnak. Gömb alakú virágzata a szár végén ül, kevés rózsaszín virág és sarjhagymák alkotják, de előfordulhat, hogy a virágok hiányoznak. Termése kicsi tok. Az egész növény erős fokhagyma illatot áraszt. Június-augusztusban virágzik száraz gyepeken, szántókon, szőlőkben.											
Bakszakáll	Tragopogon pratensis	magányos	lándzsás	ép	lefutó	fészek	sárga	hengeres				Régi nevei zabgyökér vagy kecskedísz. A fészkesek egy külön nemzetsége. Fiatal gyökerét és levelét régen gyűjtötték és fogyasztották is. 30-80 cm magasra növő faj. Szára felálló,hengeres, gyéren barázdált. Levelei szórtan helyezkednek el, keskeny lándzsásak, félig szárölelők, ép szelűek, fodrosak is lehetnek. Megtörve fehér tejnedvet ereszt. Virágai magányosan nyílnak az enyhén elágazó száron. 3-7 cm átmérőjű virágai sárgák, a fészek pikkelyek valamivel hosszabbak a nyelves virágoknál. A kora hajnali órákban nyílnak, és ahogy feljön a Nap, becsukódnak. Szőrkoronás kaszat termései 3-6 cm átmérőjű gömbben állnak, a magok 15-20 mm nagyok. Június júliusban virít, üde és száraz réteken, utak szélén, kaszálókon gyakori.											
Bálványfa	Alianthus altissima	buga	szárnyalt	ép	nyeles	5 tagú	fehér		sima	barna	lependék	Gyakran nevezik ecetfának, pedig e két faj nem ugyanaz! Az ecetfa latin neve Rhus typhina, és bár levele némileg hasonlít a bálványfáéra, nem is egy családba tartoznak. Gyorsan, nagy méretet érhet el. Egy év alatt képes akár egy méternél is nagyobb hajtásokat hozni (fiatal korban). Levelei párosan vagy páratlanul szárnyalt, 10(11)-26(27) lándzsás alakú levélke alkotja. A levélkék széle ép, eltekintve a levélke alsó részén látható fülecskétől, mely jellegzetes (az alapján egyértelműen el lehet különíteni a fekete diótól, melynek hasonlóképpen lehet párosan szárnyalt a levele). A levélnyél egy méter hosszú is lehet. Sárga vagy halvány rózsaszínes virágaik nagy bugákban nyílnak júniusban. Termése a kőrisekéhez hasonló szárnyas lependék, de a mag középen helyezkedik el. Nagyszámú magjával és sarjakkal gyorsan terjed, szinte bárhol megveti gyökerét. Kérge barna, sima, idősebb korba hosszanti, fehér repedésekkel. Hajtásai vastagok, fényesek, selymesen szőrösek, a levélripacsok (előző évi levélalap helye) nagyok, a rügyek aprók.											
Baracklevelű harangvirág	Campanula persicifolia	fürt	lándzsás	ép	nyeles	forrt	levendula	hengeres				Útszélek, lomberdők akár 1 méteres magasságot is elérő harangvirágféléje. Akár a 100 cm-es nagyságot is elérő évelő harangvirágféle (Campanulaceae). Levele lándzsa alakú, ép szélű a szárhoz nyéllel kapcsolódik. Magyarországon és általában a kontinentális éghajlatú területeken gyakori, lomberdőkben, útszéleken találkozhatunk vele. Melegkedvelő. Kevés virága laza fürtöt alkot, a virágszín lila. Termése a többi harangvirágéhoz hasonlóan toktermés, mely a termés alján található három lyukkal nyílik.											
Baracklevelű keserűfű	Polygonum persicaria	füzér	lándzsás	ép	nyeles	egyedi*	rózsaszín	hengeres				Nevét az őszibarack latin nevéből (Prunus persica) nyerte, a levél alakja miatt. Bizonyos eljárással sárga festékanyag is nyerhető belőle. Régen a népi gyógyászat több célra is felhasználta, és nyersen fogyasztották is. Vékony, elágazó szára felálló vagy heverő, zöld színű, néha vöröses árnyalattal. Lándzsa alakú leveleinek széle ép, ülők vagy rövid nyéllel kapcsolódnak a szárhoz. Színükön néha sötéten foltosak. A szár csúcsán sokvirágú álfüzérben nyílnak az apró, fehér vagy halványrózsaszín virágok. A virágzatot tartó kocsányos a levelek hónaljából nyúlnak ki. Termése fekete fénylő makk, mely igen apró. Július és október között nyílik parlagokon, szántóföldeken, patakok partján, ahol nedves a talaj.	Kígyógyökér keserűfű	Borsos keserűfű	Madárkeserűfű								
Báránysaláta	Arnoseris minima	magányos	visszás tojásdad	ép	tőálló	fészek	sárga	hengeres				A mezőgazdaságban használt műtrágyák miatt állományai jelentősen megfogyatkoztak mindenütt. Magyarországon nem fordul elő. 15-20 cm magasságot elérő, kis termetű fészkes. Szára kopasz, nem ereszt tejnedvet. Levelei visszás tojásdadok, tőlevélrózsát alkotnak, a szár levél nélküli. Szélük fogazott és pillás, fonákjuk szőrrel borított. Virágai a szár végén magányosan ülnek, ritkán 2-4 tagú fürtöt alkotnak. 0,7-1 cm átmérőjűek, sárga színű nyelves virágok alkotják. A szár a virágzat alatt megvastagodott. Termése kaszat. Június és szeptember hónapokban virít szántókon, útszéleken, parlagokon, savanyú talajokon. Magyarországon nem honos.											
Barátszegfu	Dianthus carthusianorum	bog	szálas	ép	ülő	5 tagú	bíbor	hengeres				Régi kolostorkertek virágai-nevét is innen kapta.  Kőszegfű néven is emlegetik. 20-50 cm magasságot elérő évelő.  Szára felálló, kopasz,  alul hengeres felső részén szögletes. Levelei keskenyek (3-5 mm),  szálas-lándzsásak, keresztben átellenes állásúak, hamvas szürkészöldek. Sötét rózsaszín virágai  csomókban nyílnak a szár végén, barna, hártyás csésze és barna, szálkaszerű fellevelek között.  A szirmok széle finoman fűrészes.   A virág átmérője 1,5-2 cm. Termése tok, magjai aprók, feketék. Június-augusztusban virágzik száraz réteken, gyepeken, erdei tisztásokon. Gyógynövény: szélütés, erős szívdobogás, fej-és fogfájás kezelésére alkalmazzák.											
Barkócaberkenye	Sorbus torminalis	sátorozó	karéjos	fűrészes	nyeles		fehér		repedezett	szürkésbarna	almatermés	Észak-Afrikában és Európa mérsékelt égövében honos berkenye faj. Meszes, kötött talajú területeken gyakori. Az egyik leggyakoribb vadon élő berkenyénk. Az erdőkben kívánatos elegyfafaj, félárnyéktűrő, így megél a második koronaszintben és termése ideális táplálékot jelent az erdő lakóinak. Levele alapján könnyen elkülöníthetjük bármelyik hazai fafajtól, a levél alakja karéjos, a karéjok csúcsa hegyes, a levélszél fűrészes. A virágok felálló bogernyőkben nyílnak, a virágok színe krémfehér. Termése világosbarna színű almatermés, amely éretten is nagyon savanyú. Fája rendkívül jó tulajdonságú, jól megmunkálható. A fafaragás, és a hangszeripar kedvelt alapanyaga. Angliában egyes helyeken alkoholos italt erjesztenek a terméséből.	Svéd berkenye	Madárberkenye	Lisztes berkenye								
Bársonyos árvacsalán	Lamium amplexicaule	örv	kerekded	csipkés	ülő	ajakos	bíbor	szögletes				Az ajakosakra jellemző a szögletes, többnyire szőrös szár, a virágok örvbe való rendeződése, az illóanyag tartalom, és a zigomorf párta (vagyis a virág egy szimmetriasíkkal rendelkezik). Szögletes, szőrös szára felemelkedő, vagy félig elfekvő. Levelei kerekdedek, vagy vese alakúak, ülőek, a szárat teljesen körbeveszik a virágörvek alatt, így olyan, mintha kerek gallérokat viselne a növény. A levelek széle csipkés. A piros vagy lila színű ajakosa virágok a levélhónaljból nőnek ki. A párta eleje halványabb színű, fehér, élénk, elütő mintázattal. A virágok karcsúak, és egészen kicsik, nem annyira feltűnőek, mint más piros virágú Lamium fajok. A termés apró, fekete makkocska. A növényt megdörzsölve érezhető a jellegzetes, aromás illat. Március végén már virágzik, sokszor még nyár elején is találkozhatunk vele. Utak szélén, réteken virágzik.	Piros árvacsalán	Fehér árvacsalán	Pofók árvacsalán	Foltos árvacsalán	Sárga árvacsalán						
Bársonyos kakukkszegfű	Lychnis coronaria	magányos	lándzsás	ép	ülő	5 tagú	rózsaszín	hengeres				Dísznövényként a kertekbe is ültetik ezt a feltűnő szépségű fajt. Nagy virágai már messziről szembetűnnek a nyári réten, és szinte kívánkoznak a csokorba. Azonban ne szedjük le- védett faj, eszmei értéke 5000 forint. A virágok formája, színe miatt összetéveszthető a vetési konkollyal, de több olyan bélyeg is van, melynek alapján meg lehet őket különböztetni. A bársonyos kakukkszegfű minden részét ezüstfehér, puha szőrök borítják. Levelei széles lándzsa alakúak. A virágok nagyok, bíbor rózsaszínűek, nincs rajtuk barna csíkozás, viszont a sziromlevelek tövénél hegyes fogacskák láthatóak, melyek kis koronához hasonló alakot formáznak . A csészelevelek összeforrtak, bordázottak. Termése barna tok, fekete magokkal. Májustól virágzik nyílt réteken, erdei tisztásokon, vágásokban. Télen is felismerhetjük fehéren molyhos tőlevélrózsáiról.											
